price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_living15,sqft_lot15,age
204000,3,1,1000,12070,1,0,0,1,0,1000,1010,12635,53
1330000,5,2.25,3200,20158,1,0,0,0,1,1600,3390,20158,56
1040000,5,3.25,4770,50094,1,0,0,1,1,3070,3530,38917,48
325000,3,2,1260,5612,1,0,0,1,0,1260,1640,4745,49
571000,4,2,2750,7807,1.5,0,0,1,0,2250,1510,7807,105
360000,4,2.5,2380,5000,2,0,0,0,1,2380,2420,5000,16
349000,3,1.75,1790,50529,1,0,0,1,0,1090,1940,50529,56
832500,4,4,3430,35102,2,0,0,1,1,2390,3240,35020,35
380000,4,1.75,1760,7300,1,0,0,0,0,880,1680,7500,65
480000,3,1,1040,5060,1,0,0,0,0,1040,890,5060,80
410000,3,1,1410,5060,1,0,0,1,0,910,1130,5693,65
720000,4,2.5,3450,39683,2,0,0,0,1,3450,3350,39750,19
390000,3,2.5,2350,5100,2,0,0,0,1,2350,2350,5363,18
360000,4,2.5,1900,5889,2,0,0,0,0,1900,1870,6405,29
355000,2,1,2020,6720,1,0,0,0,0,1010,1720,6720,73
356000,3,1.5,1680,8712,1,0,0,0,1,1680,1850,8797,57
315000,3,1,960,6634,1,0,0,0,1,960,1570,7203,69
940000,3,1.5,2140,3600,2,0,0,0,1,1900,2020,4800,96
305000,5,2.25,2660,8400,1.5,0,0,1,0,2660,1590,8165,60
461000,3,3.25,2770,6278,2,0,0,0,1,1980,1900,7349,15
215000,2,2.25,1610,2040,2,0,0,1,0,1610,1950,2025,42
335000,2,1.75,1030,1066,2,0,0,0,0,765,1030,1106,15
243500,4,2.5,1980,7403,2,0,0,0,0,1980,1980,7510,33
1100000,5,2.75,3520,6353,2,0,0,1,1,3520,2520,6250,20
153000,3,1,1200,10500,1,0,0,0,0,1200,1350,10500,59
430000,3,1.5,1580,5000,1,0,0,0,1,1290,1570,4500,82
700000,3,1.5,1580,5000,1,0,0,0,1,1290,1570,4500,82
905000,4,2.5,3300,10250,1,0,0,0,0,2390,1950,6045,30
247500,3,1.75,1960,15681,1,0,0,0,0,1960,1750,15616,54
199000,4,1.5,1160,6400,1,0,0,1,0,1160,1160,6400,46
314000,3,1.75,1810,41800,1,0,0,1,0,1210,1650,135036,41
437500,3,2.5,2320,36847,2,0,1,0,1,2320,2550,35065,29
850830,3,2.5,2070,13241,1.5,0,0,1,1,1270,2200,4500,111
555000,3,2,1980,3478,1.5,0,0,1,0,1440,1610,3478,92
699950,3,2.25,2190,107593,2,0,0,1,1,2190,2570,47777,38
1090000,3,2.5,2920,8113,2,0,0,0,1,2920,2370,8113,11
290000,3,1,1210,33919,1,0,0,0,0,1210,1640,14910,67
375000,3,2.5,2340,10005,1,0,0,1,1,1460,2250,8162,43
460000,3,1,1670,4005,1.5,0,0,1,0,1170,1240,4005,82
188500,2,1.75,1240,2493,1,0,0,1,1,1240,1270,4966,36
680000,4,2.5,3140,28037,2,0,0,1,1,3140,2990,35001,30
470000,5,1.75,2030,12342,2,0,0,1,0,2030,2500,9433,79
597750,4,2.5,2310,9624,2,0,0,0,1,2310,1940,9636,37
570000,3,1.75,1260,3328,1,0,0,1,1,700,1380,3536,116
272500,3,1.75,1540,12600,1,0,0,1,0,1160,1540,11656,41
329950,3,1.75,2080,5969,1,0,1,0,0,1080,2090,5500,50
480000,4,2.5,3230,16171,2,0,1,0,1,2520,2640,8517,20
740500,3,3.5,4380,6350,2,0,0,0,1,2780,1830,6350,22
518500,3,3.5,1590,1102,3,0,0,0,1,1590,1620,3166,11
205425,2,1,880,6780,1,0,0,1,1,880,1190,6780,76
171800,4,2,1570,9600,1,0,0,0,1,1570,1880,9000,71
535000,4,1,1610,2982,1.5,0,0,1,0,1610,1610,4040,96
660000,3,2.5,2400,6474,1,0,1,0,1,1560,2340,10856,57
391500,3,2,1450,9132,1,0,0,0,0,1450,1580,9104,34
395000,2,1,770,6000,1,0,0,0,1,770,1710,6000,68
445000,4,1.75,2100,4400,1.5,0,0,1,0,1720,1850,4400,97
770000,3,2.25,2910,10204,2,0,0,0,1,2910,2700,13992,31
1450000,4,2.75,2750,17789,1.5,0,0,0,1,1980,3060,11275,29
445000,3,2.25,2100,8201,1,0,1,0,1,1620,2660,8712,54
260000,4,2.25,2160,8811,1,0,0,0,1,1360,2090,8400,43
822500,5,3.5,2320,4960,2,0,0,1,0,1720,1700,4960,95
430000,4,2.5,2070,4310,2,0,0,0,0,2070,1970,3748,17
212000,3,1.75,1060,7875,1,0,0,1,0,1060,1420,7680,35
660500,4,2.25,2010,9603,1,0,0,0,1,1440,2060,9793,35
784000,3,3.5,3950,111078,1.5,0,0,0,1,2460,2480,88500,32
453246,3,2.5,2010,2287,2,0,0,0,1,1390,1690,1662,7
675000,4,3.5,2140,2278,3,0,0,0,1,2140,1540,2285,16
199000,3,1.75,1320,17390,1,0,0,1,0,1320,1550,19265,65
220000,4,1.75,2020,7840,1,0,0,0,0,1010,1750,8140,53
452000,4,2.25,2590,10002,1,0,0,1,1,1340,1550,10436,53
382500,2,1,1190,4440,1,0,0,0,1,1190,1060,5715,40
519950,3,2.25,1170,1249,3,0,0,0,1,1170,1350,1310,7
665000,2,1,1110,3200,1,0,0,0,0,1110,1170,3600,96
527700,5,2.5,2820,9375,1,0,0,1,1,1550,2820,9375,53
205000,3,1,1610,8579,1,0,0,1,0,1010,1610,8579,59
420000,3,1,1060,8097,1,0,0,1,0,940,1560,7940,98
500000,4,2.25,2030,8517,1,0,0,1,1,1380,2230,8824,60
921500,4,2.5,3670,315374,2,0,0,1,1,3670,2840,87991,27
890000,4,1,2550,4000,2,0,0,0,1,2370,2200,4000,116
430000,2,2.5,2420,60984,2,0,0,0,0,2420,1940,193842,14
258000,5,2,2260,12500,1,0,0,1,1,1130,1360,18000,61
511000,3,1,1430,3455,1,0,0,0,0,980,1450,4599,74
532170,3,2,1360,3090,2,0,0,0,1,1360,1500,3090,31
560000,3,1,1110,5000,1.5,0,0,0,0,1110,1420,5000,74
282950,3,1,1250,8200,1,0,0,1,0,1250,1680,8633,67
2250000,4,3.25,5180,19850,2,0,1,0,1,3540,3160,9750,15
350000,1,1,700,5100,1,0,0,0,0,700,1010,5100,79
215000,3,1,1180,7669,1,0,0,1,0,1180,1190,7669,54
650000,5,3.5,3960,25245,2,0,0,0,1,2500,2640,13675,25
320000,4,2.75,2640,7500,1,0,0,0,1,1620,1980,7875,54
247000,3,2,1270,7198,1.5,0,0,0,0,1270,1160,7198,8
320000,4,1.75,1760,11180,1,0,0,1,1,1760,1730,11180,53
255000,5,2.25,2060,8632,1,0,0,0,0,1030,1010,11680,59
438000,3,1.75,1780,9660,1,0,0,0,0,1780,1200,9660,59
900000,3,2.5,3400,16603,2,0,0,0,1,3400,3400,12601,21
441000,3,2.75,1910,7280,1,0,0,0,0,1160,1710,8152,42
420000,3,2,2020,38332,1,0,0,1,0,1010,2110,36590,46
370000,3,1.75,1580,7000,1,0,0,0,0,1180,1640,7500,45
269950,2,1.75,1340,7250,1,0,0,1,0,700,1830,9750,72
807100,4,2.5,2680,4499,2,0,0,0,1,2680,2920,4500,22
653000,3,2.5,2680,9750,1,0,0,1,1,1610,2480,8750,42
371500,3,2,1370,8336,1,0,0,1,0,1370,1770,7288,57
284000,3,1.75,1560,21000,1,0,0,0,0,1560,1070,7920,67
272000,3,1.75,2160,7140,1,0,0,1,0,1670,1930,7350,43
313000,3,1.5,1340,7912,1.5,0,0,0,0,1340,1480,7940,66
917500,4,2.5,3880,35003,2,0,0,0,1,2570,3740,35230,37
673000,4,2.25,2590,8190,2,0,0,1,1,2590,2260,8335,41
425000,3,2.5,1120,1100,2,0,0,0,1,820,1590,1795,13
399950,5,2.75,1970,5400,1,0,0,0,0,1320,1280,2150,35
385000,3,1,1220,4800,1,0,0,0,1,1220,1200,4800,120
269950,3,1.5,1950,7560,1,0,1,1,0,1320,1950,8941,46
330000,2,1,1350,8220,1,0,0,0,0,1060,1540,8280,72
260000,3,2.5,1670,5797,2,0,0,0,0,1670,1670,6183,33
470000,4,3,2380,5125,1.5,0,0,1,0,1680,1410,5375,96
589000,4,3,2440,9600,2,0,0,1,0,2440,2290,9600,60
163500,2,1.5,1050,3419,2,0,0,0,0,1050,1050,3417,25
835000,4,2.75,3130,13412,2,0,0,0,1,2140,2260,9984,28
1100000,5,3,4090,12850,1,0,1,1,1,2090,2540,10270,35
269000,4,1.75,1490,10000,1,0,0,1,1,1100,2190,8910,52
560000,3,2.5,1900,8744,2,0,0,0,1,1900,2030,8744,34
615000,4,1,1330,2400,1.5,0,0,1,1,1330,1330,4400,120
585188,3,2.25,2230,10026,1,0,0,0,1,1430,2230,9340,46
305000,3,1.75,1650,9480,1,0,0,0,0,1220,1540,8400,44
166950,3,1,1190,8820,1,0,0,0,1,1190,1230,7980,62
799000,3,2.5,2140,9897,1,0,0,1,1,2140,2680,10083,62
400000,3,2.5,2180,7508,1,0,0,1,0,1420,1900,7818,59
230000,3,1,1060,10228,1,0,0,0,0,1060,1570,10228,73
256883,3,2.5,1690,5025,2,0,0,0,1,1690,2550,5001,18
423000,4,2,1970,6480,1.5,0,0,1,0,1130,1500,6480,101
465000,3,2.5,2150,4084,2,0,0,0,1,2150,1750,2385,14
440000,3,2.5,1910,66211,2,0,0,0,0,1910,2330,67268,24
385000,3,1.75,1350,155073,1,0,0,1,0,1350,1560,50965,52
210000,3,1,860,11725,1,0,0,1,1,860,1300,9514,78
297000,3,2.5,1940,14952,2,0,0,0,1,1940,2030,10450,27
470000,3,1,1010,5000,1,0,0,0,0,1010,1680,5000,69
226500,3,1.5,1300,7370,1,0,0,1,0,900,1430,7500,45
274250,3,1,910,8450,1,0,0,1,1,910,1400,8040,59
840000,4,1.75,2480,11010,1,0,0,1,1,1630,2770,10744,55
677900,3,2.5,2440,4587,2,0,0,0,1,2440,2750,4587,11
425000,3,1,1010,5864,1,0,0,0,0,1010,1290,5000,106
180250,2,0.75,900,9600,1,0,0,0,1,900,1250,14280,80
464000,6,3,2300,3404,2,0,0,0,0,1600,1560,1312,27
320000,4,2.25,1550,7579,2,0,0,0,1,1550,1630,6397,28
625504,3,2.25,1270,1566,2,0,0,0,1,1060,1160,1327,7
592500,4,2.5,2240,12032,1,0,0,0,1,2240,2520,12368,38
465000,3,2.5,2714,17936,2,0,0,0,1,2714,2590,18386,16
477000,4,2.75,1720,6270,2,0,0,0,1,1720,2130,8700,43
280000,2,1,850,16400,1,0,0,0,1,850,1100,14459,98
1510000,5,3,3300,33474,1,0,1,0,1,1870,3836,20953,30
445838,3,2.5,2250,5692,2,0,0,0,1,2250,1320,5390,21
1070000,2,2.25,3900,14864,1,0,1,0,1,1950,2580,5184,74
467000,2,1.5,1320,10800,1,0,0,1,1,1320,2120,12040,74
686000,4,2.5,2760,6440,2,0,0,0,1,2760,3070,8127,22
279950,3,2,1750,9750,1,0,0,0,0,1350,1900,10125,60
527000,4,2.25,2330,19436,2,0,0,0,1,2330,1910,10055,34
325000,3,2.25,2220,16020,1,0,0,1,1,1780,2080,9583,55
328000,3,2.25,2020,8379,2,0,0,0,0,2020,2020,8031,27
390000,3,2.25,1250,7500,1,0,0,1,0,1250,1280,7392,79
479950,2,2,1510,6516,1,0,0,0,1,1510,1640,6009,16
264950,4,2.25,1720,9753,1,0,0,1,0,1120,1510,9753,43
235000,3,1,1430,15246,1,0,0,1,0,980,1960,13068,60
516500,3,2.5,1480,4729,2,0,0,0,0,1480,2250,4729,17
655000,2,1.75,1450,15798,2,1,1,0,0,1230,2030,13193,43
500000,4,2.75,2280,15347,1,0,0,1,0,2280,2280,15347,61
315000,6,2.75,2940,7350,1,0,0,0,1,1780,2120,8236,43
213000,2,1,1000,10200,1,0,0,0,1,1000,1150,13702,60
475000,3,1.5,2480,5280,1.5,0,0,1,0,1620,2090,4800,74
1030000,5,4,3760,28040,2,0,0,0,1,3760,3430,35096,38
416000,3,2,2220,94300,1,0,0,1,0,1640,2070,80100,45
410000,4,1,1970,4740,1.5,0,0,0,0,1670,1510,4740,16
800000,3,3.5,3830,221284,2,0,0,0,1,3530,2920,148539,28
472000,6,2.5,4410,14034,1,0,1,1,1,2350,2600,13988,56
225000,3,1.75,1430,8505,1,0,0,1,0,1430,1190,8640,53
210000,2,1,830,6000,1,0,0,0,1,830,830,4960,81
455000,2,1,1430,5000,1.5,0,0,0,0,1430,1450,3750,96
225000,3,1,1300,8316,1,0,0,1,1,1300,1260,8316,67
480000,2,1,1030,3060,1,0,1,1,0,790,1390,3060,103
363000,3,2.5,2740,11872,2,0,0,0,1,2740,2570,10377,31
2400000,4,2.5,3650,8354,1,1,1,0,1,1830,3120,18841,21
181000,2,1.5,720,5120,1,0,0,0,1,720,1150,2566,67
250000,4,2,2010,7312,1,0,0,1,0,2010,2010,7650,45
481000,3,1.75,1560,3000,1,0,0,1,1,770,1390,3000,103
260000,3,2,1810,7209,1,0,0,1,0,1240,1750,7209,43
455000,4,2.5,3360,7685,2,0,0,0,1,3360,3060,6567,20
415000,3,2.25,1510,36224,2,0,0,0,1,1510,1730,36224,30
349500,3,1,1400,3538,1,0,0,0,0,800,1620,6331,68
245000,3,2.5,1730,7442,2,0,0,0,0,1730,1630,6458,34
592500,2,2,1420,9191,1.5,0,1,1,0,1420,1420,6816,93
385000,4,1.75,2360,7620,1,0,0,1,0,1180,1910,7620,66
315000,3,1.75,1580,11455,1,0,0,1,0,1200,1550,10650,47
255000,3,1,1230,10170,1,0,0,0,0,1230,1380,10098,42
693000,4,2.5,2460,4425,2,0,0,0,1,2460,2990,5659,15
780000,3,1,1660,4400,1.5,0,0,0,1,1460,1660,4400,110
237000,3,1.75,1270,8470,1,0,0,1,0,1270,1600,8470,61
525000,3,2.25,2100,40510,2,0,0,0,1,1320,2380,33450,42
425000,2,1,770,5040,1,0,0,0,0,770,1330,2580,91
369900,1,0.75,760,10079,1,1,1,1,0,760,1230,14267,85
290000,4,2.5,1700,7280,2,0,0,1,0,1700,1950,7475,33
285000,3,1,1120,10701,1,0,0,0,0,1120,1130,6350,67
415000,2,1,1070,4500,1,0,0,0,0,1070,1320,4465,84
272500,3,2.5,2070,9900,1,0,0,0,1,1420,2070,8250,42
2900000,4,3.25,5050,20100,1.5,0,1,0,1,4750,3890,20060,13
1370000,4,4.75,5310,57346,2,0,0,1,1,5310,4180,47443,32
436000,2,1,1040,7538,1,0,0,1,0,1040,1440,7530,82
210000,3,1,1700,11390,1,0,0,1,0,1700,1350,8164,54
236000,3,1,1300,5898,1,0,0,0,0,1300,1320,7619,60
331000,3,1.75,1080,1306,1,0,0,0,0,580,1440,2225,18
365000,3,2.5,2653,4510,2,0,0,0,1,2653,2653,4927,15
450000,3,2,2290,16258,1,0,0,1,1,2290,1660,10530,61
770000,4,2.75,3820,26300,2,0,0,0,1,2850,1860,12136,7
455000,4,2.5,2210,49375,1,0,0,0,1,2210,2670,49385,24
405000,3,1.75,2390,6000,1,0,0,0,1,1240,2020,6000,113
304900,4,1.75,2600,11325,1,0,0,1,0,1610,1720,11088,52
170000,2,1,860,5265,1,0,0,0,1,860,1650,8775,90
2050000,5,3,3830,8480,2,0,1,1,1,2630,3050,7556,27
780000,4,2.5,3500,7048,2,0,0,0,1,3500,3920,7864,16
330000,3,3,2420,13959,1,0,0,1,1,1740,2570,13300,33
370000,4,2.5,2720,8666,2,0,0,0,1,2720,2410,8100,29
467000,5,2.25,2500,13500,1,0,0,0,0,1850,2300,9750,42
405000,3,1.75,1670,6720,1,0,0,0,0,1140,1670,7320,41
675000,5,2.25,2900,10300,1,0,0,0,1,1450,2310,10300,36
500000,2,1,1640,14100,1,0,0,1,0,1140,1520,13527,67
389999,4,2.5,1890,15770,2,0,0,1,0,1890,2410,15256,53
630000,4,1.75,2950,9025,1,0,1,1,1,1780,2120,9600,46
360000,4,2.5,2160,9528,2,0,0,0,1,2160,2280,9937,29
580000,4,3,3280,11060,2,0,0,0,1,2270,2320,11004,35
550000,3,2,1970,4166,2,0,1,1,1,1270,2390,4166,92
879000,4,2.5,3360,22111,2,0,0,0,1,3360,3150,11374,27
265000,3,2,1320,8959,1,0,0,0,0,1320,1740,7316,28
446500,3,2.5,2650,7286,2,0,0,0,1,2650,2400,7220,31
404000,3,1.5,2030,8880,1,0,0,0,0,1330,2140,5592,58
267500,3,1.75,1590,11914,1,0,1,0,0,1090,1630,9052,64
3080000,4,5,4550,18641,1,1,1,0,1,2600,4550,19508,19
335000,3,2.5,2440,7632,2,0,0,0,1,2440,2510,7903,23
576000,3,2.5,1940,9000,1,0,0,1,0,970,2190,7310,73
208633,3,2.5,2040,3810,2,0,0,0,1,2040,2370,4590,15
315000,3,2.25,2200,8750,1,0,0,1,0,1120,1460,10139,57
725000,3,1.75,1920,3300,1,0,0,1,1,960,1740,4000,108
550000,4,2.75,1800,7750,1,0,0,1,1,1400,1800,8275,56
610750,4,2.25,2180,7297,2,0,0,0,1,2180,2250,9781,37
550700,2,1,1010,5000,1.5,0,0,1,1,1010,1460,5000,113
665000,4,2.75,3320,10574,2,0,0,1,1,2220,2720,8330,61
834000,4,2.5,2370,4000,1.5,0,1,1,1,1980,2440,5750,93
201000,5,1.75,1660,78408,1.5,0,0,0,1,1660,1660,78408,106
2380000,5,2.5,3650,9050,2,0,1,1,1,3370,2880,5400,100
1380000,4,3.25,4290,12103,1,0,1,0,1,2690,3860,11244,24
1400000,4,3.25,4290,12103,1,0,1,0,1,2690,3860,11244,24
305000,4,2.25,1950,7700,1,0,0,0,1,1350,2150,7350,42
487000,3,2,2590,14052,1,0,0,1,1,1720,1570,8162,73
390000,3,2.5,1930,64904,1,0,0,1,1,1930,2350,57500,33
548000,2,1,1470,3864,1,0,0,1,0,1170,1570,3864,105
268750,4,1,800,8775,1,0,0,0,1,800,1310,8775,78
819900,5,2.75,3150,7119,2,0,0,0,1,3150,1560,8384,8
520000,3,2.25,2030,16200,2,0,0,0,1,2030,2660,17958,37
230000,3,2,1450,11204,1,0,0,0,0,1450,1520,9518,18
240000,3,1.75,1510,10248,1,0,0,0,0,1510,1510,9753,52
232000,2,1,1240,12092,1,0,0,0,1,960,1820,7460,37
240500,2,1,1240,12092,1,0,0,0,1,960,1820,7460,37
274975,3,2.5,3030,45004,2,0,0,0,1,3030,3080,35781,34
740000,4,2,2050,4400,1.5,0,0,1,1,2050,2320,5500,99
186375,3,1,1000,7636,1,0,0,0,0,1000,1150,7600,69
790000,3,2.25,2370,10289,1,0,0,1,1,1590,2500,10004,44
880000,4,3.5,2800,6750,2,0,0,0,1,1890,2370,6120,19
279000,6,1.75,2240,11180,2,0,0,1,0,2240,1590,7955,66
295000,3,2,1810,10530,1,0,1,0,1,1810,1910,10450,30
640000,2,1,1070,5000,1,0,0,0,0,1070,1710,5000,97
940000,4,2,2490,9525,2,0,0,1,1,2490,2770,9525,53
260000,4,2.5,1960,5238,2,0,0,0,0,1960,1800,5894,18
559900,3,2.75,2930,5569,1,0,0,0,1,1860,2580,11045,17
791500,4,2,1510,3500,1.5,0,0,1,0,1510,1820,3750,110
265000,3,1.75,1420,8250,1,0,0,0,0,1420,1740,8000,67
245000,3,1.75,1740,11547,1,0,0,0,0,1740,880,78408,67
485000,4,1.75,2560,43995,2,0,0,1,0,2560,2560,14764,59
684000,4,3.5,3040,8414,2,0,0,0,1,2420,3470,8066,11
425000,3,1.75,2500,6840,1,0,0,0,1,1300,1580,8691,64
309600,4,1.75,1275,20000,1,0,0,1,1,1275,1660,20000,30
552250,4,2.5,2580,5823,2,0,0,0,1,2580,2380,5823,19
165000,4,1,1000,7134,1,0,0,0,1,1000,1020,7138,78
239900,4,1,1000,7134,1,0,0,0,1,1000,1020,7138,78
320000,2,1,1070,32633,1,0,0,1,1,1070,1360,32156,91
206600,3,2,1390,13464,1,0,0,1,0,1390,1720,12080,34
387000,4,1.75,2500,7690,1,0,0,0,0,1250,2040,8646,48
299000,1,0.75,560,12120,1,0,0,0,0,560,1300,19207,54
855000,4,2.75,2270,10460,2,0,0,0,1,2270,2610,10180,56
315000,3,1,1900,14400,1,0,0,1,0,1300,1940,14400,67
437500,2,1,990,3120,1,0,1,1,0,790,1930,3120,114
252000,4,1.5,1550,19800,1,0,0,1,0,1050,1640,22654,52
375000,4,1.75,2200,7475,1,0,0,1,0,1100,1600,5766,66
300000,4,2.5,1910,4862,2,0,0,0,0,1910,2010,5091,16
420000,4,1,1750,9600,1.5,0,0,1,0,1750,1750,10530,67
900000,3,1,1330,77972,1,0,0,0,0,1330,1340,17689,67
679900,3,2.5,2440,5750,2,0,1,0,1,1980,1520,5750,21
463000,3,2.5,1640,29970,2,0,0,0,0,1640,1580,28399,29
380000,5,2.5,2760,11340,2,0,0,1,1,2760,2470,11340,43
329500,4,2.5,1820,7912,2,0,0,0,0,1820,1820,8168,27
604950,3,2.5,2110,5608,1,0,0,0,1,1340,2040,9363,8
795000,5,2.5,3040,9570,1,0,1,1,1,1640,2920,8800,55
465000,3,2,1840,40438,2,0,0,0,0,1840,1380,44049,27
673000,4,2.5,2990,10400,2,0,0,0,1,2990,2140,17449,19
810000,4,2.5,3520,15420,2,0,0,0,1,3520,3400,21455,30
785000,4,2.75,2440,69415,1,0,0,1,1,1910,2770,24361,32
338000,4,3,2090,7500,1,0,0,0,0,1370,1810,7650,35
280000,3,2.25,1430,7222,2,0,0,0,0,1430,1430,7220,28
315000,4,2.25,2180,10754,1,0,0,1,0,1100,1810,6929,67
530000,4,2.25,2180,10754,1,0,0,1,0,1100,1810,6929,67
380000,5,3,3450,9914,2,0,0,0,1,3450,2860,9721,17
297000,3,2.25,1450,7562,2,0,0,0,0,1450,1650,7625,27
730000,4,2.5,3230,7331,2,0,0,0,1,3230,3480,7447,17
450000,3,1.75,1640,13500,1,0,0,0,0,1110,1770,12600,81
275000,3,3,1590,7750,1,0,0,0,0,1060,1680,7500,24
595000,4,2,2020,2849,2,0,0,0,0,2020,1910,3120,61
435000,3,1.5,1300,3348,1.5,0,0,0,0,1300,1590,2577,7
270000,2,1.5,1380,209959,1,0,0,0,1,1380,3130,19868,67
950000,3,3,4040,14338,2,0,0,0,1,3030,3360,14142,35
389000,4,2.25,2130,5337,2,0,0,0,0,2130,2300,6930,20
560000,4,2.25,2550,7800,1,0,0,0,1,1580,2420,8050,53
1350000,5,3.5,4800,14984,2,0,1,0,1,3480,4050,19009,23
799000,4,2.25,2510,11585,2,0,0,1,1,2510,2450,9691,52
365500,3,2,1410,9600,1,0,0,1,0,1410,1410,9600,38
252350,3,2,1650,7352,1,0,0,0,0,1160,1710,7350,42
403950,4,2.5,2120,13780,2,0,0,0,1,2120,1880,12000,28
385000,4,1.5,2040,10726,1,0,0,0,0,1380,1610,10020,67
345000,4,1,1550,7620,1.5,0,0,0,0,1550,1450,7620,64
